title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Mother of George,2013.0,157937,237.857,22500,22500.0,8,1,9/13/2013,12/5/2013,83.0,
Free the Mind,2013.0,157201,78.209,12215,12215.0,6,1,5/3/2013,4/3/2014,335.0,
LUV,2013.0,156996,129.215,83194,1848.756,45,45,1/18/2013,2/14/2013,27.0,
A Touch of Sin,2013.0,154120,846.813,19867,9933.5,7,2,10/4/2013,10/30/2013,26.0,
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2013.0,152791,110.798,13802,13802.0,7,1,4/17/2013,10/31/2013,197.0,
Snake and Mongoose,2013.0,152200,213.165,20254,20254.0,14,1,8/9/2013,9/29/2013,51.0,
The Patience Stone,2013.0,148671,70.128,9361,4680.5,20,2,8/14/2013,11/28/2013,106.0,
Rangeelay,2013.0,148418,570.838,73541,3677.05,20,20,5/17/2013,5/30/2013,13.0,
American Promise,2013.0,146702,176.325,18300,9150.0,8,2,10/18/2013,1/30/2014,104.0,
Narco Cultura,2013.0,145088,92.767,6093,6093.0,46,1,11/22/2013,12/26/2013,34.0,
John Dies at the End,2013.0,141951,98.304,12467,12467.0,19,1,1/25/2013,4/11/2013,76.0,
Good Ol' Freda,2013.0,138811,90.726,6798,6798.0,17,1,9/6/2013,12/5/2013,90.0,
Is the Man Who Is Tall Happy?,2013.0,137042,190.336,31800,10600.0,15,3,11/22/2013,1/9/2014,48.0,
Fists of Legend,2013.0,134213,171.628,49252,2141.391,23,23,4/12/2013,5/16/2013,34.0,
Drug War,2013.0,128195,88.839,5926,5926.0,13,1,7/26/2013,11/14/2013,111.0,
The Artist and the Model,2013.0,127958,314.393,16900,8450.0,11,2,8/2/2013,9/8/2013,37.0,
A Band Called Death,2013.0,127257,95.826,34839,2322.6,16,15,6/28/2013,9/19/2013,83.0,
Europa Report,2013.0,125687,151.796,22243,7414.333,12,3,8/2/2013,10/10/2013,69.0,
Fukrey,2013.0,125279,109.894,74110,1300.175,57,57,6/14/2013,7/4/2013,20.0,
Beyond the Hills,2013.0,124919,153.087,14622,4874.0,17,3,3/8/2013,4/25/2013,48.0,
Final: The Rapture,2013.0,124561,183.178,31900,15950.0,4,2,9/13/2013,3/2/2014,170.0,
The Square (2013),2013.0,124244,132.739,16359,16359.0,9,1,10/25/2013,2/6/2014,104.0,
The Punk Singer,2013.0,122742,106.547,24729,8243.0,24,3,11/29/2013,1/16/2014,48.0,
Lost and Found in Armenia,2013.0,122305,399.69,49829,5536.556,9,9,6/7/2013,7/11/2013,34.0,
Spark: A Burning Man Story,2013.0,120459,16.208,9366,4683.0,8,2,8/16/2013,03/02/2016,929.0,
Storm Surfers 3D,2013.0,117090,138.241,7299,3649.5,7,2,4/26/2013,8/25/2013,121.0,
Yossi,2013.0,117047,176.276,12287,6143.5,8,2,1/25/2013,4/18/2013,83.0,
Ain't In It For My Health: A Film About Levon Helm,2013.0,113966,10.875,7937,7937.0,10,1,4/19/2013,03/02/2016,1048.0,
Spinning Plates,2013.0,112449,340.755,20717,6905.667,6,3,10/25/2013,12/19/2013,55.0,
Ek Thi Daayan,2013.0,112135,119.293,65857,1401.213,47,47,4/19/2013,5/9/2013,20.0,
Bettie Page Reveals All,2013.0,108118,57.205,4846,4846.0,21,1,11/22/2013,2/20/2014,90.0,
Augustine,2013.0,107352,85.882,13616,2723.2,10,5,5/17/2013,9/19/2013,125.0,
Big Star: Nothing Can Hurt Me,2013.0,105998,12.104,15096,7548.0,9,2,7/3/2013,03/02/2016,973.0,
Upside Down,2013.0,105095,99.805,28722,2611.091,39,11,3/15/2013,4/11/2013,27.0,
The English Teacher,2013.0,104810,340.292,6001,3000.5,7,2,5/17/2013,6/30/2013,44.0,
Gimme the Loot,2013.0,104442,189.895,21065,21065.0,10,1,3/22/2013,5/16/2013,55.0,
The Investigator,2013.0,103739,1571.803,93690,8517.273,11,11,9/13/2013,9/19/2013,6.0,
Computer Chess,2013.0,102041,57.553,9683,4841.5,9,2,7/17/2013,1/30/2014,197.0,
Therese,2013.0,101944,796.438,20050,3341.667,8,6,8/23/2013,9/8/2013,16.0,
Capital,2013.0,101700,149.559,22400,11200.0,34,2,10/25/2013,11/14/2013,20.0,
Una Noche,2013.0,100887,622.759,17194,5731.333,6,3,8/23/2013,9/19/2013,27.0,
Shadow Dancer,2013.0,100616,115.917,10672,5336.0,14,2,5/31/2013,8/1/2013,62.0,
The United States of Autism,2013.0,100403,50.101,3413,3413.0,12,1,4/5/2013,9/19/2013,167.0,"$65,000"
One Track Heart: The Story of Krishna Das,2013.0,100401,19.514,11515,11515.0,5,1,5/8/2013,03/02/2016,1029.0,
The Silence,2013.0,100214,42.178,7992,3996.0,11,2,3/8/2013,10/10/2013,216.0,
Man of Tai Chi,2013.0,100144,151.733,61054,555.036,110,110,11/1/2013,11/7/2013,6.0,
Blue Caprice,2013.0,93995,63.682,13400,13400.0,36,1,9/13/2013,10/24/2013,41.0,
Passion,2013.0,92181,243.865,33400,2385.714,14,14,8/30/2013,9/26/2013,27.0,
Kings Faith,2013.0,90106,51.489,27648,4608.0,14,6,4/26/2013,8/29/2013,125.0,
Somebody Up There Likes Me,2013.0,89435,27.35,34362,34362.0,3,1,3/8/2013,03/02/2016,1090.0,
Byzantium,2013.0,89237,167.424,16643,2773.833,13,6,6/28/2013,8/8/2013,41.0,
Settai,2013.0,87838,98.584,52386,1587.455,33,33,4/5/2013,5/2/2013,27.0,
Young Detective Dee: Rise of the Sea Dragon,2013.0,87783,109.047,32795,937.0,35,35,9/27/2013,10/20/2013,23.0,
The Rooftop,2013.0,85755,315.276,47259,2779.941,17,17,7/19/2013,8/4/2013,16.0,
Something in the Air,2013.0,85154,250.453,13288,4429.333,10,3,5/3/2013,6/6/2013,34.0,
We Are What We Are,2013.0,81381,140.798,13727,6863.5,17,2,9/27/2013,10/31/2013,34.0,
Stuck in Love,2013.0,81071,70.191,34967,1665.095,21,21,7/5/2013,8/29/2013,55.0,
Winnie Mandela,2013.0,80634,419.969,61847,1932.719,32,32,9/6/2013,9/12/2013,6.0,
Ramaiya Vastavaiya,2013.0,80108,199.274,52514,783.791,67,67,7/19/2013,7/25/2013,6.0,
More Than Honey,2013.0,79772,407.0,5225,5225.0,7,1,6/12/2013,7/10/2013,28.0,
Leviathan (2013),2013.0,76211,64.313,10000,10000.0,5,1,3/1/2013,10/24/2013,237.0,
No One Lives,2013.0,74918,108.734,47800,901.887,53,53,5/10/2013,5/23/2013,13.0,
Reality (2013),2013.0,72577,109.965,7072,7072.0,12,1,3/15/2013,5/9/2013,55.0,
After Tiller,2013.0,72125,218.561,15500,7750.0,6,2,9/20/2013,11/14/2013,55.0,
An Oversimplification of Her Beauty,2013.0,71906,71.62,10055,5027.5,4,2,4/26/2013,1/2/2014,251.0,
Seasons of Gray,2013.0,70605,127.908,31953,1331.375,24,24,10/18/2013,11/10/2013,23.0,
War Witch,2013.0,70544,58.013,8714,4357.0,16,2,3/1/2013,5/16/2013,76.0,
Go For Sisters,2013.0,70495,42.263,6001,3000.5,12,2,11/8/2013,3/27/2014,139.0,
Maidentrip,2013.0,68243,64.259,1622,1622.0,9,1,12/20/2013,4/17/2014,118.0,
The Pervert's Guide to Ideology,2013.0,67966,19.943,9165,9165.0,4,1,11/1/2013,03/02/2016,852.0,
Pandora's Promise,2013.0,66680,73.114,23419,1463.688,16,16,6/12/2013,8/8/2013,57.0,
Let the Fire Burn,2013.0,64489,59.712,5226,5226.0,9,1,10/2/2013,1/30/2014,120.0,
My Lucky Star,2013.0,64432,215.492,47006,2043.739,23,23,9/20/2013,10/3/2013,13.0,
Becoming Traviata,2013.0,62652,105.297,5000,5000.0,7,1,5/15/2013,8/8/2013,85.0,
Sightseers,2013.0,61782,228.822,7384,3692.0,10,2,5/10/2013,6/6/2013,27.0,
Don't Stop Believin': Everyman's Journey,2013.0,61018,55.27,25573,1111.87,23,23,3/8/2013,4/25/2013,48.0,
The Wicker Man - Final Cut,2013.0,60891,40.648,5493,5493.0,14,1,9/27/2013,1/12/2014,107.0,
It's a Disaster,2013.0,60818,173.271,15305,5101.667,13,3,4/12/2013,5/9/2013,27.0,
How I Live Now,2013.0,60213,38.499,28547,419.809,68,68,11/8/2013,12/1/2013,23.0,
The Trials of Muhammad Ali,2013.0,59081,38.615,2980,2980.0,10,1,8/23/2013,1/23/2014,153.0,
Aftershock,2013.0,58510,88.652,40179,365.264,110,110,5/10/2013,5/16/2013,6.0,
Faust,2013.0,58132,58.016,10030,5015.0,6,2,11/15/2013,5/1/2014,167.0,
Lost in Thailand,2013.0,57387,126.125,32206,1110.552,35,29,2/8/2013,2/21/2013,13.0,
The Canyons,2013.0,56825,185.703,13351,13351.0,9,1,8/2/2013,9/5/2013,34.0,
Terms and Conditions May Apply,2013.0,55824,55.713,4446,4446.0,6,1,7/12/2013,12/26/2013,167.0,
Bajatey Raho,2013.0,55397,96.848,37801,859.114,44,44,7/26/2013,8/8/2013,13.0,
C.O.G.,2013.0,55301,120.22,32677,1633.85,20,20,9/20/2013,10/13/2013,23.0,
Mission Park,2013.0,54204,133.837,26839,1789.267,15,15,9/6/2013,10/3/2013,27.0,
Leonie,2013.0,53692,75.094,291,291.0,11,1,3/15/2013,5/19/2013,65.0,
Venus and Serena,2013.0,51271,133.518,10981,2745.25,8,4,5/10/2013,6/27/2013,48.0,
God Loves Uganda,2013.0,51229,123.443,7300,7300.0,5,1,10/11/2013,1/2/2014,83.0,
Le Joli Mai,2013.0,49647,324.49,10662,3554.0,3,3,9/13/2013,11/3/2013,51.0,
Mademoiselle C,2013.0,48668,386.254,14284,2380.667,7,6,9/11/2013,9/29/2013,18.0,
Un Flic (2013 re-release),2013.0,48040,397.025,10342,10342.0,1,1,4/19/2013,8/18/2013,121.0,
GMO OMG,2013.0,47558,264.211,15100,15100.0,9,1,9/13/2013,10/3/2013,20.0,
Table No. 21,2013.0,46720,156.254,31658,1376.435,23,23,1/4/2013,1/17/2013,13.0,
Jewtopia,2013.0,46437,145.116,26371,1648.188,16,16,9/20/2013,10/10/2013,20.0,
Wish You Were Here (2013),2013.0,46347,4.218,25937,2357.909,11,11,6/7/2013,03/02/2016,999.0,
Wrong (2013),2013.0,46021,2.153,20424,1276.5,20,16,3/29/2013,03/02/2016,1069.0,
Reaching for the Moon,2013.0,45502,13.462,14573,7286.5,4,2,11/8/2013,03/02/2016,845.0,
A Glimpse Inside the Mind of Charles Swan III,2013.0,45350,193.803,12000,6000.0,18,2,2/8/2013,2/21/2013,13.0,
American Made Movie,2013.0,45175,579.167,1613,806.5,6,2,8/30/2013,9/12/2013,13.0,
Greedy Lying Bastards,2013.0,45000,0.826,45000,900.0,50,50,3/8/2013,03/02/2016,1090.0,
My Brother The Devil,2013.0,44906,10.434,10305,5152.5,4,2,3/22/2013,03/02/2016,1076.0,
Tiny Times 2,2013.0,43788,429.294,20652,3442.0,6,6,8/16/2013,9/2/2013,17.0,
Contempt (2013 re-release),2013.0,43763,157.421,8322,8322.0,2,1,9/6/2013,1/23/2014,139.0,
Andre Gregory: Before and After Dinner,2013.0,42892,56.511,7980,7980.0,3,1,4/3/2013,12/12/2013,253.0,
Concussion,2013.0,42606,85.212,8313,4156.5,25,2,10/4/2013,10/24/2013,20.0,
Zaytoun,2013.0,42330,75.86,4100,2050.0,9,2,9/20/2013,11/21/2013,62.0,
The We and the I,2013.0,42172,109.538,10774,10774.0,7,1,3/8/2013,5/2/2013,55.0,
Holla II,2013.0,41537,1153.806,37444,6240.667,6,6,4/19/2013,4/25/2013,6.0,
Language of a Broken Heart,2013.0,40645,7.458,5861,5861.0,5,1,3/8/2013,03/02/2016,1090.0,
CBGB,2013.0,40400,25.25,3909,3909.0,100,1,10/4/2013,10/20/2013,16.0,
Killing Season,2013.0,39881,553.903,27713,2309.417,12,12,7/12/2013,7/18/2013,6.0,
The Short Game,2013.0,39819,153.15,28434,1672.588,20,17,9/20/2013,10/3/2013,13.0,
How to Make Money Selling Drugs,2013.0,39192,124.419,9202,1840.4,5,5,6/26/2013,8/28/2013,63.0,
Post Tenebras Lux,2013.0,39185,61.612,4674,4674.0,6,1,5/1/2013,8/15/2013,106.0,
Herb and Dorothy 50x50,2013.0,38933,58.634,6157,6157.0,8,1,9/13/2013,12/5/2013,83.0,
The Wall (2013),2013.0,38674,81.936,2188,2188.0,4,1,5/31/2013,9/26/2013,118.0,
Rising From Ashes,2013.0,38602,58.488,7298,2432.667,5,3,8/2/2013,12/12/2013,132.0,
Berberian Sound Studio,2013.0,38493,102.922,6605,1321.0,11,5,6/14/2013,7/18/2013,34.0,
Ip Man: The Final Fight,2013.0,37884,90.2,15514,1108.143,14,14,9/20/2013,10/20/2013,30.0,
Mumia: Long Distance Revolutionary,2013.0,37731,75.462,9283,9283.0,4,1,2/1/2013,6/6/2013,125.0,
Big Sur,2013.0,37466,46.484,16835,1295.0,13,13,11/1/2013,1/2/2014,62.0,
Savannah,2013.0,37240,78.235,15599,1114.214,14,14,8/23/2013,9/26/2013,34.0,
Redemption (2013),2013.0,36895,149.372,19977,1051.421,19,19,6/28/2013,7/11/2013,13.0,
The Servant (2013 re-release),2013.0,36463,379.823,7859,7859.0,2,1,7/26/2013,9/12/2013,48.0,
Touchy Feely,2013.0,36128,150.533,3447,1723.5,5,2,9/6/2013,10/24/2013,48.0,
Far Out Isn't Far Enough: The Tomi Ungerer Story,2013.0,35647,7.187,3700,3700.0,5,1,6/14/2013,03/02/2016,992.0,
Fritz Lang's 'M' (2013 re-release),2013.0,35566,42.492,6123,6123.0,3,1,3/15/2013,12/19/2013,279.0,
Camille Claudel 1915,2013.0,35296,69.48,5106,5106.0,4,1,10/16/2013,2/20/2014,127.0,
Underdogs,2013.0,35271,259.346,18722,4680.5,4,4,8/16/2013,9/19/2013,34.0,
Mauvais Sang (2013 re-release),2013.0,35176,169.115,8482,8482.0,2,1,11/29/2013,3/13/2014,104.0,
Tai Chi Hero,2013.0,35067,4.812,12624,1803.429,7,7,4/26/2013,03/02/2016,1041.0,
The Girl (2013),2013.0,35048,4.593,11164,5582.0,7,2,3/8/2013,03/02/2016,1090.0,
I Give It a Year,2013.0,34657,140.882,5436,2718.0,6,2,8/9/2013,9/19/2013,41.0,
Bert Stern: Original Mad Man,2013.0,34005,48.03,4691,1172.75,6,4,4/5/2013,8/1/2013,118.0,
Running From Crazy,2013.0,33300,246.667,6822,6822.0,5,1,11/1/2013,11/28/2013,27.0,
Dislecksia: The Movie,2013.0,33066,2543.538,2213,2213.0,1,1,10/4/2013,10/17/2013,13.0,
At Berkeley,2013.0,31736,6.26,5069,2534.5,6,2,11/8/2013,03/02/2016,845.0,
Evocateur: The Morton Downey Jr. Movie,2013.0,31313,6.269,3936,787.2,5,5,6/7/2013,03/02/2016,999.0,
Maniac (2013),2013.0,31081,152.358,5571,5571.0,12,1,6/21/2013,7/8/2013,17.0,
These Birds Walk,2013.0,30408,447.176,5454,5454.0,2,1,11/1/2013,12/5/2013,34.0,
Long Shot: The Kevin Laue Story (2013),2013.0,29863,368.679,7006,7006.0,3,1,10/25/2013,11/21/2013,27.0,
Dead Man's Burden,2013.0,29634,224.5,7620,7620.0,3,1,5/3/2013,6/16/2013,44.0,
Little Fugitive (2013 re-release),2013.0,29505,13.113,9040,9040.0,2,1,2/1/2013,03/02/2016,1125.0,
Cousin Jules,2013.0,29337,66.979,5135,5135.0,3,1,11/29/2013,4/24/2014,146.0,
Fire in the Blood,2013.0,28994,33.558,4856,4856.0,4,1,9/6/2013,4/10/2014,216.0,
Struck By Lightning,2013.0,28378,545.731,12940,12940.0,4,1,1/11/2013,1/24/2013,13.0,
Simon Killer,2013.0,27740,163.176,5054,5054.0,5,1,4/5/2013,5/9/2013,34.0,
Broadway Idiot,2013.0,27595,153.306,5514,5514.0,6,1,10/11/2013,11/10/2013,30.0,
Tiger Eyes,2013.0,27160,49.926,10874,639.647,17,17,6/7/2013,7/9/2013,32.0,
Out in the Dark,2013.0,26966,345.718,14067,2344.5,6,6,9/27/2013,10/10/2013,13.0,
The Sweeney,2013.0,26650,186.364,20321,1847.364,11,11,3/1/2013,3/14/2013,13.0,
The Power of Few,2013.0,25000,185.185,7614,3807.0,5,2,2/15/2013,3/14/2013,27.0,
Graceland,2013.0,24529,1.309,13059,870.6,18,15,4/26/2013,03/02/2016,1041.0,
Bastards,2013.0,24525,557.386,4432,4432.0,2,1,10/23/2013,11/14/2013,22.0,
Le Petit Soldat (2013 re-release),2013.0,24296,149.055,6848,6848.0,1,1,3/8/2013,8/18/2013,163.0,
The Citizen,2013.0,24296,69.816,368,368.0,6,1,9/6/2013,11/3/2013,58.0,
Paradise: Love,2013.0,24267,97.851,6014,3007.0,4,2,4/26/2013,6/27/2013,62.0,
The Last Days on Mars,2013.0,24084,45.186,4608,1536.0,13,3,12/6/2013,1/16/2014,41.0,
Harry Dean Stanton: Partly Fiction,2013.0,23959,39.149,6330,3165.0,4,2,9/13/2013,2/13/2014,153.0,
Dear Mr. Watterson,2013.0,23899,55.322,6199,1239.8,9,5,11/15/2013,1/2/2014,48.0,
Greenwich Village: Music That Defined a Generation,2013.0,23701,85.255,5530,5530.0,2,1,1/18/2013,6/6/2013,139.0,
Tiny Times,2013.0,23462,205.807,12294,4098.0,3,3,7/26/2013,9/2/2013,38.0,
Our Children,2013.0,23203,84.069,5500,5500.0,4,1,8/2/2013,10/10/2013,69.0,
I Used to Be Darker,2013.0,22214,92.558,3533,3533.0,5,1,9/27/2013,11/14/2013,48.0,
Murder 11,2013.0,22107,381.155,8106,4053.0,2,2,10/2/2013,10/31/2013,29.0,
Pieta,2013.0,22080,1.804,6222,518.5,12,12,5/17/2013,03/02/2016,1020.0,
V/H/S/2,2013.0,21833,1.887,9932,827.667,12,12,7/12/2013,03/02/2016,964.0,
The ABC's of Death,2013.0,21832,1.054,10110,532.105,19,19,3/8/2013,03/02/2016,1090.0,
Viola,2013.0,21818,46.03,6109,6109.0,2,1,7/12/2013,3/6/2014,237.0,
Violeta Went to Heaven,2013.0,21496,174.764,5588,2794.0,3,2,3/29/2013,5/9/2013,41.0,
Tio Papi,2013.0,21316,169.175,16108,767.048,21,21,9/6/2013,9/12/2013,6.0,
The Look of Love,2013.0,21252,131.185,5105,1701.667,6,3,7/5/2013,8/1/2013,27.0,
The Painting (2013),2013.0,21008,129.679,3626,3626.0,6,1,5/10/2013,6/6/2013,27.0,
The Ghosts In Our Machine,2013.0,20709,304.544,8756,8756.0,2,1,11/8/2013,12/12/2013,34.0,
Our Nixon,2013.0,20584,59.664,6090,2030.0,5,3,8/30/2013,11/7/2013,69.0,
Hunky Dory,2013.0,20296,38.439,7443,676.636,11,11,3/22/2013,5/9/2013,48.0,
American Sniper,2014.0,350126372,495.179,633456,158364.0,3885,4,12/25/2014,6/25/2015,182.0,58800000.0
The Hunger Games: Mockingjay - Part 1,2014.0,337135885,688.288,121897634,29365.848,4151,4151,11/21/2014,3/19/2015,118.0,125000000.0
Guardians of the Galaxy,2014.0,333176600,468.397,94320883,23117.863,4088,4080,8/1/2014,1/22/2015,174.0,170000000.0
Captain America: The Winter Soldier,2014.0,259766572,474.562,95023721,24129.944,3938,3938,4/4/2014,8/21/2014,139.0,170000000.0
The LEGO Movie,2014.0,257760692,317.045,69050279,18291.465,3890,3775,2/7/2014,9/4/2014,209.0,60000000.0
The Hobbit: The Battle of the Five Armies,2014.0,255119788,621.107,54724334,14122.409,3875,3875,12/17/2014,4/2/2015,106.0,
Transformers: Age of Extinction,2014.0,245439076,557.522,100038390,23632.977,4233,4233,6/27/2014,10/9/2014,104.0,210000000.0
Maleficent,2014.0,241410378,325.253,69431298,17586.448,3948,3948,5/30/2014,12/4/2014,188.0,180000000.0
X-Men: Days of Future Past,2014.0,233921534,420.617,90823660,22728.644,4001,3996,5/23/2014,10/9/2014,139.0,200000000.0
Big Hero 6,2014.0,222527828,291.975,56215889,14947.059,3773,3761,11/7/2014,5/28/2015,202.0,165000000.0
Dawn of the Planet of the Apes,2014.0,208545589,359.888,72611427,18303.864,3969,3967,7/11/2014,12/4/2014,146.0,170000000.0
The Amazing Spider-Man 2,2014.0,202853933,438.444,91608337,21186.017,4324,4324,5/2/2014,8/17/2014,107.0,
Godzilla (2014),2014.0,200676069,488.253,93188384,23580.057,3952,3952,5/16/2014,8/28/2014,104.0,160000000.0
22 Jump Street,2014.0,191719337,337.109,57071445,17262.99,3426,3306,6/13/2014,11/26/2014,166.0,50000000.0
Teenage Mutant Ninja Turtles (2014),2014.0,191204754,461.936,65575105,17054.644,3980,3845,8/8/2014,11/20/2014,104.0,125000000.0
Interstellar,2014.0,188020017,394.028,47510360,13341.859,3561,3561,11/5/2014,3/19/2015,134.0,165000000.0
How to Train Your Dragon 2,2014.0,177002924,229.128,49451322,11627.398,4268,4253,6/13/2014,12/11/2014,181.0,145000000.0
Gone Girl,2014.0,167767189,349.906,37513109,12446.287,3284,3014,10/3/2014,2/26/2015,146.0,61000000.0
Divergent,2014.0,150947895,345.501,54607747,13873.919,3936,3936,3/21/2014,7/10/2014,111.0,85000000.0
Neighbors,2014.0,150157400,436.068,49033915,14953.923,3311,3279,5/9/2014,8/21/2014,104.0,18000000.0
Ride Along,2014.0,134938200,522.955,41516170,15590.0,2867,2663,1/17/2014,4/17/2014,90.0,25000000.0
Rio 2,2014.0,131538435,226.654,39327869,9961.466,3975,3948,4/11/2014,9/4/2014,146.0,103000000.0
Into the Woods,2014.0,128002372,403.416,31051923,12726.198,2833,2440,12/25/2014,4/16/2015,112.0,50000000.0
Lucy,2014.0,126663600,380.362,43899340,13835.279,3202,3173,7/25/2014,11/6/2014,104.0,40000000.0
The Fault in our Stars,2014.0,124872350,299.095,48002523,15128.435,3340,3173,6/6/2014,10/9/2014,125.0,12000000.0
Unbroken,2014.0,115637895,454.95,30621445,9780.085,3301,3131,12/25/2014,3/12/2015,77.0,65000000.0
Night at the Museum: Secret of the Tomb,2014.0,113746621,143.869,17100520,4517.971,3914,3785,12/19/2014,7/9/2015,202.0,127000000.0
Mr. Peabody & Sherman,2014.0,111506430,155.924,32207057,8186.847,3951,3934,3/7/2014,9/4/2014,181.0,145000000.0
300: Rise of An Empire,2014.0,106580051,367.936,45038460,12979.383,3490,3470,3/7/2014,5/29/2014,83.0,110000000.0
The Maze Runner,2014.0,102427862,202.554,32512804,9021.311,3638,3604,9/19/2014,2/5/2015,139.0,34000000.0
The Equalizer,2014.0,101530738,293.228,34137828,10549.391,3236,3236,9/26/2014,1/11/2015,107.0,55000000.0
Noah,2014.0,101200044,341.439,43720472,12256.931,3571,3567,3/28/2014,6/19/2014,83.0,125000000.0
Edge of Tomorrow,2014.0,100206256,294.737,28760246,8240.758,3505,3490,6/6/2014,9/11/2014,97.0,178000000.0
Non-Stop,2014.0,92168600,321.739,28875635,9344.866,3183,3090,2/28/2014,5/29/2014,90.0,50000000.0
Heaven is for Real,2014.0,91443253,258.63,22522221,9318.254,3048,2417,4/16/2014,8/10/2014,116.0,12000000.0
The Imitation Game,2014.0,91125683,227.17,479352,119838.0,2402,4,11/28/2014,5/14/2015,167.0,
Dumb and Dumber To,2014.0,86208010,300.46,36111775,11449.516,3188,3154,11/14/2014,2/12/2015,90.0,40000000.0
Annie (2014),2014.0,85911262,312.47,15861939,5090.481,3197,3116,12/19/2014,3/15/2015,86.0,65000000.0
Fury (2014),2014.0,85817906,275.568,23702421,7470.035,3313,3173,10/17/2014,1/19/2015,94.0,68000000.0
Tammy,2014.0,84525432,230.133,21577049,6227.143,3465,3465,7/2/2014,10/16/2014,106.0,20000000.0
Annabelle,2014.0,84273813,344.904,37134255,11659.107,3215,3185,10/3/2014,12/18/2014,76.0,6500000.0
The Other Woman (2014),2014.0,83911193,228.662,24763752,7726.6,3306,3205,4/25/2014,8/14/2014,111.0,40000000.0
Penguins of Madagascar,2014.0,83350911,136.295,25447444,6760.745,3775,3764,11/26/2014,5/7/2015,162.0,132000000.0
Let's Be Cops,2014.0,82390774,218.659,17813722,5757.505,3140,3094,8/13/2014,12/11/2014,120.0,17000000.0
The Monuments Men,2014.0,78031620,253.103,22003433,7137.02,3083,3083,2/7/2014,5/18/2014,100.0,70000000.0
Hercules (2014),2014.0,72688614,243.607,29800263,8289.364,3595,3595,7/25/2014,10/16/2014,83.0,100000000.0
The Purge: Anarchy,2014.0,71962800,406.404,29816675,10629.831,2856,2805,7/18/2014,9/18/2014,62.0,9000000.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,66954149,154.535,18360230,5945.67,3117,3088,10/10/2014,2/26/2015,139.0,28000000.0
Think Like a Man Too,2014.0,65182182,505.092,29241911,13142.432,2225,2225,6/20/2014,8/17/2014,58.0,24000000.0
Exodus: Gods and Kings,2014.0,65014513,244.206,24115934,6884.366,3503,3503,12/12/2014,2/26/2015,76.0,140000000.0
The Nut Job,2014.0,64251541,166.717,19423000,5667.639,3472,3427,1/17/2014,5/8/2014,111.0,42000000.0
God's Not Dead,2014.0,60755732,234.995,9217013,11816.683,1860,780,3/21/2014,8/7/2014,139.0,2000000.0
Son of God,2014.0,59700064,188.158,25601865,7853.333,3271,3260,2/28/2014,6/5/2014,97.0,
The Grand Budapest Hotel,2014.0,59301324,113.549,811166,202791.5,1467,4,3/7/2014,2/26/2015,356.0,25000000.0
Planes: Fire & Rescue,2014.0,59165787,130.608,17509407,4576.426,3839,3826,7/18/2014,11/13/2014,118.0,50000000.0
RoboCop (2014),2014.0,58607007,182.953,21681430,6429.843,3372,3372,2/12/2014,5/18/2014,95.0,100000000.0
Dracula Untold,2014.0,56280355,404.313,23514615,8150.646,2900,2885,10/10/2014,11/27/2014,48.0,70000000.0
Horrible Bosses 2,2014.0,54445357,188.392,15457418,4579.976,3400,3375,11/26/2014,2/19/2015,85.0,42000000.0
The Hundred-Foot Journey,2014.0,54240821,212.122,10979290,5427.232,2167,2023,8/8/2014,12/4/2014,118.0,22000000.0
No Good Deed (2014),2014.0,52543632,473.686,24250283,11149.555,2175,2175,9/12/2014,11/2/2014,51.0,13200000.0
Selma,2014.0,52076908,208.041,571450,30076.316,2235,19,12/25/2014,4/16/2015,112.0,20000000.0
Muppets Most Wanted,2014.0,51183113,135.803,17005126,5324.085,3194,3194,3/21/2014,7/17/2014,118.0,50000000.0
Ouija,2014.0,50856010,318.956,19875995,6954.512,2899,2858,10/24/2014,12/18/2014,55.0,5000000.0
The Boxtrolls,2014.0,50837305,111.181,17275239,4987.078,3464,3464,9/26/2014,2/5/2015,132.0,60000000.0
Jack Ryan: Shadow Recruit,2014.0,50577412,196.484,15451981,4562.144,3387,3387,1/17/2014,4/3/2014,76.0,60000000.0
If I Stay,2014.0,50474843,210.371,15679190,5393.598,3157,2907,8/22/2014,11/6/2014,76.0,11000000.0
The Book of Life (2014),2014.0,50151543,122.048,17005218,5537.355,3113,3071,10/17/2014,2/26/2015,132.0,50000000.0
About Last Night (2014),2014.0,48637684,299.833,25649011,11384.381,2253,2253,2/14/2014,4/27/2014,72.0,12500000.0
Into The Storm,2014.0,47602194,133.289,17346427,5051.377,3434,3434,8/8/2014,11/20/2014,104.0,50000000.0
The Judge,2014.0,47119388,161.761,13116226,4367.708,3003,3003,10/10/2014,1/15/2015,97.0,50000000.0
Jersey Boys,2014.0,47047013,166.961,13319371,4584.981,2905,2905,6/20/2014,9/25/2014,97.0,40000000.0
Blended,2014.0,46294610,134.251,14284031,4018.012,3555,3555,5/23/2014,8/28/2014,97.0,40000000.0
The Giver,2014.0,45090374,127.247,12305016,4097.574,3003,3003,8/15/2014,12/11/2014,118.0,25000000.0
St. Vincent,2014.0,44137712,118.461,109878,27469.5,2552,4,10/10/2014,3/5/2015,146.0,
