title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Circo,2011.0,77466,126.578,5403,5403.0,4,1,4/1/2011,9/1/2011,153.0,
Beautiful Boy,2011.0,77247,201.164,16162,4040.5,8,4,6/3/2011,7/21/2011,48.0,
The Conquest,2011.0,74474,74.474,16273,2712.167,8,6,11/11/2011,3/15/2012,125.0,
The Tree,2011.0,71158,71.158,4983,2491.5,8,2,7/15/2011,11/17/2011,125.0,
Fireflies in the Garden,2011.0,70600,3.15,36884,7376.8,14,5,10/14/2011,03/02/2016,1601.0,8000000.0
The Warring States,2011.0,68961,149.915,35381,1538.304,23,23,4/22/2011,5/12/2011,20.0,
Puncture,2011.0,68945,405.559,29175,7293.75,5,4,9/23/2011,10/27/2011,34.0,
Heartbeats,2011.0,68723,124.951,7197,7197.0,10,1,2/25/2011,4/21/2011,55.0,
A Beautiful Life,2011.0,66171,106.556,23605,1026.304,23,23,5/20/2011,6/16/2011,27.0,
Shaolin,2011.0,66099,176.735,19132,2125.778,11,9,9/9/2011,10/13/2011,34.0,
Battle of the Brides (Co Dau Dai Chien),2011.0,64572,398.593,23612,4722.4,6,5,5/6/2011,6/2/2011,27.0,
The Human Resources Manager,2011.0,64014,53.884,8528,2842.667,9,3,3/4/2011,7/14/2011,132.0,
Public Speaking,2011.0,62173,113.454,6260,6260.0,2,1,2/23/2011,11/24/2011,274.0,
Trigun: Badlands Rumble,2011.0,62027,93.98,29201,2433.417,12,12,7/8/2011,9/1/2011,55.0,
If a Tree Falls: A Story of the Earth Liberation Front,2011.0,61794,193.106,5634,2817.0,5,2,6/22/2011,8/25/2011,64.0,
Viva Riva!,2011.0,61759,132.815,10314,3438.0,5,3,6/10/2011,9/11/2011,93.0,
How to Live Forever,2011.0,60630,99.069,3716,3716.0,4,1,5/13/2011,10/13/2011,153.0,
Limelight,2011.0,60335,274.25,9259,9259.0,4,1,9/23/2011,11/17/2011,55.0,
Crime After Crime,2011.0,60291,91.35,3215,3215.0,5,1,7/1/2011,11/10/2011,132.0,
3 (2011),2011.0,59954,103.014,9821,2455.25,6,4,9/16/2011,12/22/2011,97.0,
Farmageddon,2011.0,56573,44.651,2699,2699.0,7,1,6/17/2011,12/15/2011,181.0,
Finding Joe,2011.0,55518,233.269,8753,8753.0,7,1,9/30/2011,11/3/2011,34.0,
Into Eternity,2011.0,55366,45.234,3530,3530.0,6,1,2/2/2011,8/25/2011,204.0,
Dirty Girl,2011.0,55125,162.132,17859,1984.333,10,9,10/7/2011,11/10/2011,34.0,
Snowmen,2011.0,54805,570.885,54333,3395.812,16,16,10/21/2011,10/27/2011,6.0,
The Other F Word,2011.0,53714,218.35,15792,7896.0,6,2,11/4/2011,12/15/2011,41.0,
"Women, Art, Revolution",2011.0,52681,81.298,5791,2895.5,4,2,6/1/2011,11/10/2011,162.0,
Over Your Cities Grass Will Grow,2011.0,51301,83.825,7272,7272.0,3,1,8/10/2011,3/1/2012,204.0,
Battleship Potemkin (2011 re-issue),2011.0,51198,5.464,5641,5641.0,5,1,1/14/2011,03/02/2016,1874.0,
Legend of the Fist: The Return of Chen Zhen,2011.0,50433,101.885,11365,2841.25,9,4,4/22/2011,6/16/2011,55.0,
Putty Hill,2011.0,49918,9.048,4868,4868.0,3,1,2/18/2011,03/02/2016,1839.0,
Pianomania,2011.0,49852,29.051,2238,2238.0,6,1,5/27/2011,3/8/2012,286.0,
Orgasm Inc.,2011.0,49001,123.74,8773,4386.5,3,2,2/11/2011,6/23/2011,132.0,
The Perfect Host,2011.0,48764,70.672,7505,3752.5,10,2,7/1/2011,9/8/2011,69.0,
"Lebanon, Pa.",2011.0,48381,146.609,6675,3337.5,6,2,4/29/2011,6/23/2011,55.0,
"The Butcher, the Chef and the Swordsman",2011.0,47896,64.724,23425,633.108,37,37,3/18/2011,4/7/2011,20.0,
Alabama Moon,2011.0,47305,140.789,6568,938.286,7,7,3/18/2011,5/5/2011,48.0,
Went The Day Well? (2011 re-release),2011.0,47214,260.851,7849,7849.0,1,1,5/20/2011,11/17/2011,181.0,
Diary of a Country Priest (2011 re-release),2011.0,46979,378.863,7674,7674.0,2,1,2/25/2011,4/28/2011,62.0,
Connected,2011.0,46782,139.232,13301,4433.667,7,3,9/16/2011,11/3/2011,48.0,
The Woodmans,2011.0,46623,49.18,5874,5874.0,3,1,1/19/2011,12/1/2011,316.0,
Margaret,2011.0,46495,123.003,7525,3762.5,14,2,9/30/2011,10/27/2011,27.0,14000000.0
Every Day,2011.0,46029,166.772,9857,3285.667,4,3,1/14/2011,3/24/2011,69.0,3000000.0
Rapt,2011.0,45759,94.154,5872,5872.0,3,1,7/6/2011,12/15/2011,162.0,
Texas Killing Fields,2011.0,45469,133.732,8772,2924.0,10,3,10/14/2011,11/17/2011,34.0,
CornerStore,2011.0,45176,132.871,12743,12743.0,2,1,8/12/2011,1/29/2012,170.0,
"Happy, Happy",2011.0,45154,93.487,7125,1781.25,7,4,9/16/2011,11/24/2011,69.0,
Outrage (2011),2011.0,44745,103.099,6518,3259.0,7,2,12/2/2011,2/2/2012,62.0,
The Bride Wore Black (2011 re-release),2011.0,44566,124.486,6463,6463.0,2,1,11/4/2011,5/1/2012,179.0,
Desert Flower,2011.0,44348,115.49,7657,2552.333,8,3,3/18/2011,5/5/2011,48.0,
Granito: How to Nail a Dictator,2011.0,43942,49.934,4330,4330.0,5,1,9/14/2011,3/8/2012,176.0,
Le Rayon Vert (Summer),2011.0,43839,67.032,4957,4957.0,2,1,6/9/2011,5/1/2012,327.0,
Bereavement,2011.0,43712,90.501,20744,1037.2,21,20,3/4/2011,3/27/2011,23.0,
Love Etc.,2011.0,43593,396.3,8781,4390.5,2,2,7/1/2011,8/25/2011,55.0,
3 Backyards,2011.0,43073,422.284,11332,11332.0,3,1,3/11/2011,4/14/2011,34.0,
Down for Life,2011.0,41914,644.831,23176,4635.2,5,5,1/14/2011,1/27/2011,13.0,
The Myth of the American Sleepover,2011.0,41045,402.402,8700,8700.0,3,1,7/22/2011,8/25/2011,34.0,
Hell and Back Again,2011.0,40634,55.511,3413,3413.0,4,1,10/5/2011,4/5/2012,183.0,
The Last Circus,2011.0,40548,81.422,4757,4757.0,6,1,8/19/2011,11/10/2011,83.0,
Louder Than a Bomb,2011.0,40362,347.948,2300,2300.0,4,1,5/18/2011,6/16/2011,29.0,
Road to Nowhere,2011.0,40294,55.349,2521,2521.0,7,1,6/10/2011,9/22/2011,104.0,
Addiction Incorporated,2011.0,40106,70.984,1629,1629.0,5,1,12/14/2011,4/5/2012,113.0,
Khodorkovsky,2011.0,39522,12.716,6110,6110.0,2,1,11/30/2011,03/02/2016,1554.0,
A Somewhat Gentle Man,2011.0,37743,106.619,2506,2506.0,3,1,1/14/2011,5/12/2011,118.0,
Sleeping Beauty (2011) (II),2011.0,36578,338.685,9207,4603.5,4,2,12/2/2011,12/29/2011,27.0,
My Kingdom (2011),2011.0,36533,91.332,16816,840.8,20,20,9/9/2011,9/29/2011,20.0,
Paul Goodman Changed My Life,2011.0,35671,133.101,5754,5754.0,2,1,10/19/2011,3/1/2012,134.0,
Kinyarwanda,2011.0,35412,145.728,21097,3013.857,9,7,12/2/2011,12/29/2011,27.0,
When Harry Tries to Marry,2011.0,35100,540.0,23790,5947.5,5,4,4/22/2011,5/5/2011,13.0,
Love in Space,2011.0,34787,108.709,13795,862.188,16,16,9/9/2011,9/29/2011,20.0,
Beautiful Darling,2011.0,34096,568.267,12406,12406.0,3,1,4/22/2011,5/12/2011,20.0,
The Autobiography of Nicolae Ceausescu,2011.0,34023,60.324,4644,4644.0,3,1,9/9/2011,3/15/2012,188.0,
Making the Boys,2011.0,33443,76.354,7513,7513.0,3,1,3/11/2011,8/4/2011,146.0,
Stake Land,2011.0,33245,511.462,7258,7258.0,5,1,4/22/2011,5/5/2011,13.0,
American Teacher,2011.0,33144,199.663,6036,3018.0,2,2,9/30/2011,12/22/2011,83.0,
Meet Monica Velour,2011.0,33042,172.094,7438,3719.0,4,2,4/8/2011,5/26/2011,48.0,
Film Socialisme,2011.0,32977,68.702,4526,4526.0,3,1,6/3/2011,11/10/2011,160.0,
The Time That Remains,2011.0,32869,821.725,6453,6453.0,2,1,1/7/2011,1/27/2011,20.0,
11-11-11,2011.0,32771,963.853,32771,1927.706,17,17,11/11/2011,11/13/2011,2.0,
Octubre,2011.0,32127,85.444,7054,3527.0,2,2,5/6/2011,11/10/2011,188.0,
"Hey, Boo: Harper Lee & To Kill A Mockingbird",2011.0,31135,64.196,5457,2728.5,5,2,5/13/2011,8/18/2011,97.0,
